Category,name,subtitle,price,discount_price
Fruta,Plátano de Canarias IGP,Pieza 170 g aprox.,"0,36 €",
Fruta,Banana,Pieza 170 g aprox.,"0,25 €",
Fruta,Plátano macho,Pieza 300 g aprox.,"0,87 €",
Fruta,Uva blanca sin semillas,Bandeja 500 g aprox.,"2,65 €",
Fruta,Uva roja sin semillas,Bandeja 500 g aprox.,"2,65 €",
Fruta,Manzana Golden,Pieza 210 g aprox.,"0,46 €",
Fruta,Manzanas Golden,"1,5 kg aprox.","2,93 €",
Fruta,Pera Conferencia,Pieza 180 g aprox.,"0,48 €",
Fruta,Peras Conferencia,"1,5 kg aprox.","3,53 €",
Fruta,Manzana roja dulce,Pieza 190 g aprox.,"0,40 €",
Fruta,Manzanas rojas dulces,"Bolsa 1,5 kg aprox.","2,22 €",
Fruta,Pera Ercolina,Pieza 100 g aprox.,"0,28 €",
Fruta,Manzana Granny Smith,Pieza 200 g aprox.,"0,45 €",
Fruta,Pera Rocha,Pieza 130 g aprox.,"0,35 €",
Fruta,Manzana Reineta,Pieza 230 g aprox.,"0,62 €",
Fruta,Manzana roja acidulce,Pieza 210 g aprox.,"0,48 €",
Fruta,Manzanas rojas acidulces,"Bolsa 1,5 kg aprox.","2,97 €",
Fruta,Medio melón piel de sapo,"1/2 Pieza 1,57 kg aprox.","3,69 €",
Fruta,Melón piel de sapo,"Pieza 3,52 kg aprox.","7,18 €",
Fruta,Limones,Malla 1 kg,"1,99 €",
Fruta,Limón,Pieza 150 g aprox.,"0,33 €",
Fruta,Mandarina,Pieza 170 g aprox.,"0,37 €",
Fruta,Mandarinas,"Bandeja 1,5 kg","3,67 €",
Fruta,Mandarina,Malla 2 kg,"3,57 €",
Fruta,Naranja para mesa,Pieza 240 g aprox.,"0,45 €",
Fruta,Naranjas,Malla 3 kg,"4,13 €",
Fruta,Naranjas,Malla 5 kg,"4,25 €","4,25 €"
Fruta,Pomelos,"Malla 1,5 kg","3,74 €",
Fruta,Lima,Pieza 70 g aprox.,"0,29 €",
Fruta,Kiwi verde,Pieza 120 g aprox.,"0,38 €",
Fruta,Kiwis verdes,1 kg aprox.,"3,06 €",
Fruta,Aguacate,Pieza 190 g aprox.,"0,97 €",
Fruta,Aguacates,550 g aprox.,"2,70 €",
Fruta,Piña,"Pieza 1,86 kg aprox.","3,72 €",
Fruta,Media piña,1/2 Pieza 810 g aprox.,"1,77 €",
Fruta,Guacamole Hacendado,Tarrina 500 g,"3,85 €",
Fruta,Guacamole Hacendado,Tarrina 200 g,"1,75 €",
Fruta,Kiwis amarillos,500 g aprox.,"3,28 €",
Fruta,Mango,Pieza 540 g aprox.,"1,57 €",
Fruta,Piña natural a rodajas,Bote 500 g aprox.,"3,02 €",
Fruta,Papaya,Pieza 560 g aprox.,"3,05 €",
Fruta,Cereza,Bandeja 300 g aprox.,"3,52 €",
Fruta,Fresón,Bandeja 500 g aprox.,"5,25 €",
Fruta,Fresón,Bandeja 1 kg aprox.,"8,50 €",
Fruta,Frambuesa,Bandeja 170 g aprox.,"2,31 €",
Fruta,Moras,Bandeja 125 g,"2,35 €",
Fruta,Arándanos,Vaso 225 g,"3,21 €",
Fruta,Arándanos,Tarrina 500 g,"6,63 €",
Lechuga y ensalada preparada,Lechuga Iceberg,Pieza 1 ud.,"1,03 €",
Lechuga y ensalada preparada,Ensalada mezcla 4 estaciones,Paquete 250 g,"0,86 €",
Lechuga y ensalada preparada,Lechugas corazón romana,Paquete 2 ud.,"1,61 €",
